weekday,hour,num_trips
Friday,0,7429
Friday,1,4130
Friday,2,2439
Friday,3,1454
Friday,4,1143
Friday,5,1941
Friday,6,5263
Friday,7,11234
Friday,8,15188
Friday,9,15451
Friday,10,16230
Friday,11,17155
Friday,12,18564
Friday,13,19922
Friday,14,22751
Friday,15,24371
Friday,16,23542
Friday,17,25763
Friday,18,26893
Friday,19,25478
Friday,20,18504
Friday,21,16842
Friday,22,18124
Friday,23,16559
Monday,0,5682
Monday,1,2964
Monday,2,1572
Monday,3,1196
Monday,4,1228
Monday,5,2418
Monday,6,6669
Monday,7,13736
Monday,8,18691
Monday,9,19029
Monday,10,19364
Monday,11,20032
Monday,12,22115
Monday,13,22804
Monday,14,25917
Monday,15,28442
Monday,16,26924
Monday,17,27902
Monday,18,27245
Monday,19,21576
Monday,20,16518
Monday,21,14299
Monday,22,12343
Monday,23,8269
Saturday,0,17999
Saturday,1,15653
Saturday,2,11612
Saturday,3,7578
Saturday,4,4046
Saturday,5,2047
Saturday,6,2891
Saturday,7,4450
Saturday,8,6097
Saturday,9,9782
Saturday,10,13515
Saturday,11,16412
Saturday,12,19068
Saturday,13,20289
Saturday,14,20931
Saturday,15,22286
Saturday,16,23518
Saturday,17,23427
Saturday,18,23453
Saturday,19,22713
Saturday,20,18212
Saturday,21,17983
Saturday,22,18648
Saturday,23,17497
Sunday,0,14699
Sunday,1,12258
Sunday,2,9073
Sunday,3,6059
Sunday,4,3423
Sunday,5,1717
Sunday,6,2893
Sunday,7,4412
Sunday,8,6439
Sunday,9,10090
Sunday,10,15020
Sunday,11,18669
Sunday,12,22109
Sunday,13,22949
Sunday,14,24797
Sunday,15,25001
Sunday,16,24399
Sunday,17,23185
Sunday,18,21941
Sunday,19,18152
Sunday,20,15439
Sunday,21,13458
Sunday,22,12061
Sunday,23,8845
Thursday,0,5098
Thursday,1,2637
Thursday,2,1506
Thursday,3,962
Thursday,4,868
Thursday,5,1967
Thursday,6,5918
Thursday,7,13056
Thursday,8,17822
Thursday,9,17742
Thursday,10,17673
Thursday,11,18054
Thursday,12,19381
Thursday,13,20290
Thursday,14,22978
Thursday,15,24476
Thursday,16,23007
Thursday,17,25492
Thursday,18,26530
Thursday,19,22144
Thursday,20,17385
Thursday,21,16996
Thursday,22,16223
Thursday,23,11428
Tuesday,0,3769
Tuesday,1,1729
Tuesday,2,977
Tuesday,3,664
Tuesday,4,691
Tuesday,5,1794
Tuesday,6,5898
Tuesday,7,13048
Tuesday,8,17616
Tuesday,9,17589
Tuesday,10,17584
Tuesday,11,18120
Tuesday,12,18998
Tuesday,13,19206
Tuesday,14,21480
Tuesday,15,23410
Tuesday,16,22010
Tuesday,17,23793
Tuesday,18,24173
Tuesday,19,18794
Tuesday,20,14480
Tuesday,21,13663
Tuesday,22,11938
Tuesday,23,7277
Wednesday,0,4026
Wednesday,1,1879
Wednesday,2,1124
Wednesday,3,668
Wednesday,4,804
Wednesday,5,1971
Wednesday,6,5830
Wednesday,7,12933
Wednesday,8,18050
Wednesday,9,17913
Wednesday,10,18286
Wednesday,11,18874
Wednesday,12,19510
Wednesday,13,19876
Wednesday,14,22288
Wednesday,15,23558
Wednesday,16,22352
Wednesday,17,24476
Wednesday,18,24954
Wednesday,19,20324
Wednesday,20,15586
Wednesday,21,14777
Wednesday,22,13601
Wednesday,23,8747
